source_archive,source_entry,run_key,campaign,method,family,scenario,ratio,variant,execution_profile,status,row_start_inclusive,row_end_exclusive,row_count,empty_payload_count,source_csv_sha256
H:\My Drive\GAN\New folder (2)\GAN\final_result_info\phase1_survey\ctgan\all\RAW\Rfull\BASE\generated_payloads.csv,phase1_survey/ctgan/all/RAW/Rfull/BASE/generated_payloads.csv,phase1_survey|ctgan|all|RAW|Rfull|BASE,phase1_survey,ctgan,all,RAW,Rfull,BASE,full,completed,0,2000,2000,0,a4c2cc0bb40fcec5833bd69be2f49c2720d2126410bd19d5867b0ef945679867
H:\My Drive\GAN\New folder (2)\GAN\final_result_info\phase1_survey\gan\all\RAW\Rfull\BASE\generated_payloads.csv,phase1_survey/gan/all/RAW/Rfull/BASE/generated_payloads.csv,phase1_survey|gan|all|RAW|Rfull|BASE,phase1_survey,gan,all,RAW,Rfull,BASE,full,completed,2000,4000,2000,0,147727538f8a1bdc5b4fdedf4ba2466f2879e21ec53f04fe8140d2354ce89a59
H:\My Drive\GAN\New folder (2)\GAN\final_result_info\phase1_survey\seqgan_master\all\RAW\Rfull\BASE\generated_payloads.csv,phase1_survey/seqgan_master/all/RAW/Rfull/BASE/generated_payloads.csv,phase1_survey|seqgan_master|all|RAW|Rfull|BASE,phase1_survey,seqgan_master,all,RAW,Rfull,BASE,medium,completed,4000,4500,500,0,4b2c689afcfe0da7a8091ff523e85360935fc62b7c831be057fdc832da6dc6c1
H:\My Drive\GAN\New folder (2)\GAN\final_result_info\phase1_survey\smote\all\RAW\Rfull\BASE\generated_payloads.csv,phase1_survey/smote/all/RAW/Rfull/BASE/generated_payloads.csv,phase1_survey|smote|all|RAW|Rfull|BASE,phase1_survey,smote,all,RAW,Rfull,BASE,full,completed,4500,6500,2000,0,1ec72576b8cb52160140f63f85977d973e64f898de4051347b9dd0a34601c3c9
